0,R0048
0,R0049
0,R0050
0,R0047
0,R0057
0,R0056
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0057
0,R0056
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
0,R0048
0,R0049
0,R0050
0,R0047
0,R0057
0,R0056
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0057
0,R0056
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0057
0,R0056
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0057
0,R0056
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0057
0,R0056
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0055
0,R0057
0,R0056
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0055
0,R0057
0,R0056
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0055
0,R0057
0,R0056
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0057
0,R0056
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0057
0,R0056
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0055
0,R0057
0,R0056
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0057
0,R0056
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
0,R0048
0,R0049
0,R0050
0,R0047
0,R0057
0,R0056
0,R0055
0,R0052
0,R0054
0,R0053
0,R0051
|
